input,Conductivity [S/cm]
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$45,-5.250263684430939
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$50,-5.1700533040583645
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$53,-5.078833949362261
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$59,-5.008330992620052
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$64,-4.91721462968355
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$69,-4.896196279044043
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$73,-4.806875401645538
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$77,-4.795880017344075
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$81,-4.767003889607846
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$87,-4.747146969020107
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$91,-4.72584215073632
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$116.88NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-67|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$95,-4.696803942579511
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-21,-7.649751981665837
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-17,-7.338187314462739
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-11,-6.982966660701219
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-6,-6.823908740944319
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-1,-6.571865205971212
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$3,-6.369572124974976
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$7,-6.218244625347531
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$12,-6.097453220686009
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$17,-5.987162775294828
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$23,-5.795880017344075
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$27,-5.703334809738469
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$31,-5.583359492661719
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$37,-5.492144128304169
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$40,-5.361510743045363
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$45,-5.301029995663981
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$49,-5.27083521030723
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$55,-5.199970640755866
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$60,-5.129596094720973
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$64,-4.966576244513051
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$69,-4.847711655616943
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$72,-4.747146969020107
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$79,-4.686132779630847
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$82,-4.645891560852599
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$86,-4.5951662833800615
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$91,-4.554395796726403
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$72.0NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-59|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$95,-4.473660722610156
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$37.41NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-53|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-1,-7.503070351926785
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$37.41NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-53|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$3,-7.161150909262744
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$37.41NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-53|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$8,-6.860120913598763
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$37.41NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-53|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$12,-6.607303046740334
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$37.41NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-53|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$17,-6.386158178123931
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$37.41NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-53|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$22,-6.204815410317576
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-17,-7.924453038607469
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-12,-7.583359492661719
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-6,-7.24184537803261
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$-1,-6.950781977329818
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$3,-6.718966632752273
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$7,-6.507239610973162
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$13,-6.274905478918531
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$17,-6.124360062995832
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$21,-5.991399828238082
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$27,-5.841637507904751
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$32,-5.671620396561262
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$36,-5.549750891680639
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$41,-5.449771646944906
*CCO*.*O[Si](*)(C)CCCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].*O[Si](*)(C)C[^]$4.0$28.62NAN_ratioNAN_ratio$NAN_Mw$NAN_Mn$NAN_Mw/Mn$NAN_DP$S_2$NAN_Tm$-37|1.0$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$NAN_mole_ratio$mole_ratio$NAN_inorganic$NAN_inorganic_weight$45,-5.38933983691012
